train_28872, artisinal_mine bare_ground clear conventional_mine habitation partly_cloudy primary road water, artisinal_mine partly_cloudy primary water
train_4628, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, cloudy
train_2559, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear habitation primary road
train_2561, bare_ground blooming blow_down clear haze partly_cloudy slash_burn, agriculture clear cultivation habitation primary road
train_2535, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary water
train_3043, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, haze primary
train_751, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear primary road
train_28557, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear primary selective_logging
train_373, bare_ground blooming clear partly_cloudy primary selective_logging slash_burn, clear primary
train_738, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary
train_699, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear habitation primary water
train_3398, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, haze primary
train_39965, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn, clear cultivation primary slash_burn
train_3401, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_2605, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, bare_ground habitation partly_cloudy primary road
train_297, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation primary
train_368, bare_ground blooming clear partly_cloudy primary, clear primary
train_1468, artisinal_mine bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, partly_cloudy primary water
train_2483, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear habitation primary road water
train_1202, blooming clear partly_cloudy primary, partly_cloudy primary
train_28732, blooming blow_down clear cultivation habitation primary selective_logging, agriculture clear cultivation primary selective_logging
train_27164, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear primary water
train_358, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear cultivation primary
train_25950, bare_ground blooming clear haze partly_cloudy, agriculture blooming blow_down clear cultivation primary
train_259, agriculture blooming clear cultivation haze partly_cloudy primary selective_logging water, partly_cloudy primary
train_268, bare_ground blooming blow_down clear cloudy cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear habitation primary road
train_30491, bare_ground blooming clear conventional_mine cultivation habitation selective_logging slash_burn water, artisinal_mine clear primary water
train_1402, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, clear primary water
train_2249, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear cultivation primary
train_4788, blooming blow_down cloudy selective_logging, cloudy
train_3413, blooming clear partly_cloudy primary, haze primary
train_1229, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture haze primary road water
train_3279, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, haze primary water
train_2414, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, cultivation partly_cloudy primary slash_burn
train_1119, artisinal_mine bare_ground blooming clear cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, agriculture clear habitation primary road
train_2440, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture habitation haze primary
train_1383, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, clear primary water
train_25873, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear primary road selective_logging
train_321, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, clear primary water
train_4065, artisinal_mine bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, cloudy
train_30679, bare_ground blooming blow_down clear conventional_mine cultivation haze partly_cloudy selective_logging slash_burn water, blooming clear primary road
train_820, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging, agriculture clear habitation primary road water
train_1258, agriculture blooming clear conventional_mine habitation primary road selective_logging slash_burn water, clear primary water
train_1132, bare_ground blooming clear conventional_mine cultivation haze partly_cloudy, clear primary road water
train_30138, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, clear primary selective_logging
train_27861, bare_ground blooming clear conventional_mine cultivation partly_cloudy selective_logging slash_burn, blooming clear primary
train_1335, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_2759, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, clear habitation primary road
train_28297, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear habitation primary road water
train_2803, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear cultivation habitation primary
train_3569, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, haze primary
train_380, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, clear primary
train_31438, agriculture artisinal_mine bare_ground blooming clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear habitation primary road water
train_31664, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, blooming clear primary water
train_1415, artisinal_mine bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, partly_cloudy primary
train_31233, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear primary selective_logging
train_298, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn water, agriculture bare_ground clear cultivation habitation primary
train_3390, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture haze primary
train_12658, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture bare_ground clear
train_2300, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, blooming clear cultivation primary
train_307, blooming blow_down clear cultivation habitation primary selective_logging, clear primary
train_11442, agriculture bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture bare_ground clear primary road
train_310, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, clear primary
train_290, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear water
train_338, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear primary
train_1183, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, partly_cloudy primary road selective_logging
train_3575, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, haze primary water
train_2251, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear habitation primary road
train_2091, bare_ground blooming clear cloudy conventional_mine cultivation haze partly_cloudy selective_logging slash_burn water, agriculture clear cultivation primary slash_burn
train_28849, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging slash_burn water, artisinal_mine partly_cloudy primary
train_309, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear primary water
train_2485, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn, clear cultivation habitation primary road
train_29461, bare_ground blooming blow_down clear cultivation habitation primary selective_logging slash_burn water, agriculture artisinal_mine clear primary
train_1251, bare_ground blooming blow_down clear cultivation partly_cloudy slash_burn, clear primary road water
train_3333, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, haze primary
train_30627, bare_ground blooming blow_down clear cultivation habitation primary selective_logging, clear primary road selective_logging
train_374, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear primary
train_260, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, clear primary road water
train_29928, agriculture artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine bare_ground clear primary water
train_277, bare_ground blooming clear partly_cloudy primary, clear primary
train_1420, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear primary water
train_3064, bare_ground blooming blow_down clear cloudy conventional_mine partly_cloudy slash_burn, agriculture clear habitation primary road
train_27983, bare_ground blooming clear partly_cloudy primary, blooming clear primary
train_31311, bare_ground blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear primary road selective_logging
train_27161, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear primary
train_27689, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_296, blooming clear partly_cloudy primary, clear primary
train_966, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear primary road
train_1103, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, partly_cloudy primary
train_1128, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear cultivation habitation primary road
train_702, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear primary road
train_254, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging, clear primary
train_997, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, artisinal_mine clear primary road selective_logging water
train_1308, blooming clear primary, clear primary water
train_998, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture cultivation partly_cloudy primary road
train_1356, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, partly_cloudy primary
train_379, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear primary road
train_27367, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear primary road selective_logging water
train_3657, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_894, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation primary
train_26301, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, artisinal_mine clear primary water
train_2084, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture cultivation haze primary road
train_27635, bare_ground blooming blow_down clear conventional_mine cultivation haze partly_cloudy selective_logging slash_burn, blooming clear primary
train_3266, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, haze primary
train_12690, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, bare_ground clear primary water
train_346, blooming blow_down clear cultivation habitation primary selective_logging slash_burn, clear primary
train_26234, blooming clear cultivation partly_cloudy primary selective_logging, bare_ground clear primary road selective_logging
train_1138, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture partly_cloudy primary
train_953, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture habitation partly_cloudy primary road water
train_330, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear primary water
train_2463, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear cultivation primary
train_28850, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear habitation primary selective_logging
train_29246, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, clear primary selective_logging
train_829, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear primary road
train_31298, bare_ground blooming clear partly_cloudy, clear primary road selective_logging
train_1352, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear cultivation primary water
train_1175, blooming clear conventional_mine habitation primary road selective_logging slash_burn water, partly_cloudy primary
train_3090, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_11263, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, bare_ground clear habitation primary road
train_3521, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, haze primary
train_4658, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, cloudy
